Object, Count, Frequency
troops, 262, 0.00047566
both, 261, 0.00047385
talk, 254, 0.00046114
soon, 252, 0.00045751
want, 251, 0.00045569
wife, 250, 0.00045388
petya, 250, 0.00045388
horses, 249, 0.00045206
shall, 247, 0.00044843
called, 245, 0.00044480
petersburg, 245, 0.00044480
shouted, 244, 0.00044298
taken, 243, 0.00044117
alone, 242, 0.00043935
between, 240, 0.00043572
chief, 239, 0.00043390
whether, 234, 0.00042483
word, 234, 0.00042483
son, 233, 0.00042301
saying, 233, 0.00042301
many, 233, 0.00042301
part, 233, 0.00042301
things, 231, 0.00041938
officers, 230, 0.00041757
letter, 229, 0.00041575
thing, 229, 0.00041575
along, 227, 0.00041212
mind, 226, 0.00041030
regiment, 226, 0.00041030
table, 225, 0.00040849
during, 224, 0.00040667
sent, 224, 0.00040667
against, 223, 0.00040486
rode, 223, 0.00040486
everyone, 221, 0.00040123
night, 221, 0.00040123
sitting, 221, 0.00040123
found, 220, 0.00039941
entered, 220, 0.00039941
question, 219, 0.00039759
among, 216, 0.00039215
evening, 216, 0.00039215
moved, 216, 0.00039215
continued, 215, 0.00039033
vasili, 214, 0.00038852
speak, 214, 0.00038852
drawing, 213, 0.00038670
crowd, 211, 0.00038307
brought, 211, 0.00038307
leave, 210, 0.00038126
wounded, 210, 0.00038126
de, 210, 0.00038126
cried, 210, 0.00038126
added, 210, 0.00038126
morning, 209, 0.00037944
power, 209, 0.00037944
anatole, 208, 0.00037762
near, 207, 0.00037581
enemy, 207, 0.00037581
does, 206, 0.00037399
mother, 204, 0.00037036
road, 204, 0.00037036
taking, 203, 0.00036855
really, 203, 0.00036855
got, 203, 0.00036855
themselves, 203, 0.00036855
orders, 202, 0.00036673
ask, 200, 0.00036310
received, 200, 0.00036310
white, 199, 0.00036128
fire, 198, 0.00035947
lay, 198, 0.00035947
understood, 198, 0.00035947
can't, 196, 0.00035584
days, 195, 0.00035402
action, 195, 0.00035402
happy, 194, 0.00035221
stopped, 193, 0.00035039
next, 193, 0.00035039
passed, 191, 0.00034676
i'll, 190, 0.00034495
